T	1937123.000000
K	Unix Assembly	exit_code	-5.084505
K	Unix Assembly	hello_text	-5.777652
K	Unix Assembly	into_thumb	-5.084505
K	Unix Assembly	invalid	-5.084505
K	Unix Assembly	ldr	-5.777652
K	Unix Assembly	ldrb	-5.084505
K	Unix Assembly	leaq	-5.777652
K	Unix Assembly	leave	-5.777652
K	Unix Assembly	live_support	-5.777652
K	Unix Assembly	mov	-3.985893
K	Unix Assembly	movl	-5.777652
K	Unix Assembly	movq	-5.777652
K	Unix Assembly	no_toc	-5.777652
K	Unix Assembly	nop	-5.777652
K	Unix Assembly	number.	-5.777652
K	Unix Assembly	output_next	-5.084505
K	Unix Assembly	pushq	-5.777652
K	Unix Assembly	r	-2.281145
K	Unix Assembly	rbp	-5.084505
K	Unix Assembly	rdi	-5.777652
K	Unix Assembly	ret	-5.777652
K	Unix Assembly	rip	-5.777652
K	Unix Assembly	rsp	-5.777652
K	Unix Assembly	set	-3.475067
K	Unix Assembly	skip_output	-5.084505
K	Unix Assembly	stc	-5.777652
K	Unix Assembly	strip_static_syms	-5.777652
K	Unix Assembly	sub	-5.084505
K	Unix Assembly	swi	-4.679040
K	Unix Assembly	teq	-5.084505
K	Unix Assembly	writec	-5.777652
K	Uno	!	-5.356586
K	Uno	(	-2.278616
K	Uno	)	-2.285217
K	Uno	*	-4.817590
K	Uno	+	-5.356586
K	Uno	,	-3.370671
K	Uno	-	-4.358057
K	Uno	.GetBody	-5.916202
K	Uno	/	-6.609349
K	Uno	//UpdateValues	-7.302496
K	Uno	//fixtureDef.friction	-7.302496
K	Uno	:	-5.916202
K	Uno	;	-2.312064
K	Uno	<	-6.609349
K	Uno	<Body>	-5.916202
K	Uno	=	-2.895777
K	Uno	>	-6.609349
K	Uno	ActualPosition	-6.609349
K	Uno	Application.Current.FrameInterval	-7.302496
K	Uno	Ball	-6.203884
K	Uno	Ball.BallRectangle.Intersects	-6.609349
K	Uno	Ball.BallVelocity	-7.302496
K	Uno	Ball.BallVelocity.X	-7.302496
K	Uno	Ball.BallVelocity.Y	-7.302496
K	Uno	BeginContact	-7.302496
K	Uno	Body	-7.302496
K	Uno	BodyDef	-6.203884
K	Uno	BodyType.Dynamic	-7.302496
K	Uno	Contact	-5.916202
K	Uno	ContactImpulse	-7.302496
K	Uno	ContactListener	-5.916202
K	Uno	Context.VirtualResolution	-7.302496
K	Uno	Context.VirtualResolution.X	-7.302496
K	Uno	CreateBox	-6.609349
K	Uno	CreateDeleteBody	-6.609349
K	Uno	CreateFloor	-6.609349
K	Uno	D	-6.203884
K	Uno	DMath	-7.302496
K	Uno	EndContact	-7.302496
K	Uno	EventArgs	-7.302496
K	Uno	FixtureDef	-6.203884
K	Uno	Height	-5.916202
K	Uno	Hide	-6.609349
K	Uno	IContactListener	-7.302496
K	Uno	Image	-4.817590
K	Uno	Inline	-6.609349
K	Uno	Input.IsKeyDown	-5.223055
K	Uno	List	-5.916202
K	Uno	Manifold	-7.302496
K	Uno	Math.Clamp	-6.609349
K	Uno	Node	-6.609349
K	Uno	OnDraw	-7.302496
K	Uno	OnFixedUpdate	-7.302496
K	Uno	OnInitialize	-7.302496
K	Uno	OnInitializeTestBed	-7.302496
K	Uno	OnUpdate	-6.609349
K	Uno	OnWindowResize	-7.302496
K	Uno	PONG	-6.609349
K	Uno	PadVelocity	-5.693059
K	Uno	Player	-3.351253
K	Uno	PlayerPads	-6.609349
K	Uno	PolygonShape	-6.203884
K	Uno	Pong	-6.609349
K	Uno	Pos	-3.970292
K	Uno	Pos.X	-5.916202
K	Uno	Pos.Y	-5.223055
K	Uno	Position	-6.609349
K	Uno	PostSolve	-7.302496
K	Uno	PreSolve	-7.302496
K	Uno	Random	-5.916202
K	Uno	Rect	-4.306764
K	Uno	Rect.Position	-5.916202
K	Uno	Rect.Size	-6.609349
K	Uno	SpwanBall	-6.203884
K	Uno	TestBed	-7.302496
K	Uno	TowerBlock	-6.203884
K	Uno	TowerBuilder	-7.302496
K	Uno	TowerBuilder.Box	-7.302496
K	Uno	Uno	-6.203884
K	Uno	Uno.Collections	-6.203884
K	Uno	Uno.Content	-6.203884
K	Uno	Uno.Content.Models	-6.203884
K	Uno	Uno.Designer	-7.302496
K	Uno	Uno.Diagnostics.Clock.GetSeconds	-7.302496
K	Uno	Uno.Drawing.RoundedRectangle.Draw	-6.203884
K	Uno	Uno.Graphics	-6.203884
K	Uno	Uno.Physics.Box	-7.302496
K	Uno	Uno.Platform.Key.Down	-6.609349
K	Uno	Uno.Platform.Key.S	-6.609349
K	Uno	Uno.Platform.Key.Up	-6.609349
K	Uno	Uno.Platform.Key.W	-6.609349
K	Uno	Uno.Scenes	-6.203884
K	Uno	Uno.Scenes.Input.AddGlobalListener	-7.302496
K	Uno	Uno.UI	-7.302496
K	Uno	UpdatePositions	-7.302496
K	Uno	UpdateValues	-6.609349
K	Uno	Width	-5.916202
K	Uno	World.ContactListener	-7.302496
K	Uno	World.CreateBody	-6.203884
K	Uno	World.DestroyBody	-7.302496
K	Uno	World.Gravity	-7.302496
K	Uno	[	-5.916202
K	Uno	]	-5.916202
K	Uno	_player	-4.412125
K	Uno	args	-7.302496
K	Uno	b	-6.203884
K	Uno	b.bodiesToDelete.Add	-6.609349
K	Uno	b.deleteBody	-6.609349
K	Uno	ballPosition	-6.203884
K	Uno	ballRect	-6.609349
K	Uno	ballRect.Intersects	-6.609349
K	Uno	ballRect.Position	-6.203884
K	Uno	ballRect.Position.X	-6.609349
K	Uno	ballRect.Position.Y	-6.609349
K	Uno	ballRect.Size	-7.302496
K	Uno	ballVelocity	-6.203884
K	Uno	ballVelocity.X	-7.302496
K	Uno	ballVelocity.Y	-7.302496
K	Uno	base.OnFixedUpdate	-7.302496
K	Uno	base.OnInitialize	-7.302496
K	Uno	base.OnUpdate	-6.609349
K	Uno	bodies	-7.302496
K	Uno	bodies.Add	-7.302496
K	Uno	bodies.Clear	-7.302496
K	Uno	bodies.Count	-7.302496
K	Uno	bodies.Remove	-7.302496
K	Uno	bodiesToDelete	-6.609349
K	Uno	bodiesToDelete.Clear	-6.609349
K	Uno	body	-5.693059
K	Uno	body.CreateFixture	-7.302496
K	Uno	bodyDef	-5.510737
K	Uno	bodyDef.angularVelocity	-7.302496
K	Uno	bodyDef.position	-6.203884
K	Uno	bodyDef.type	-7.302496
K	Uno	bodyDef.userData	-7.302496
K	Uno	c	-6.609349
K	Uno	class	-5.916202
K	Uno	contact	-5.916202
K	Uno	contact.GetFixtureA	-6.609349
K	Uno	contact.GetFixtureB	-6.609349
K	Uno	contactListener	-6.609349
K	Uno	debug_log	-7.302496
K	Uno	deleteBody	-6.609349
K	Uno	deleteBody.CreateFixture	-7.302496
K	Uno	else	-7.302496
K	Uno	fixtureDef	-5.510737
K	Uno	fixtureDef.density	-6.203884
K	Uno	fixtureDef.shape	-6.203884
K	Uno	float	-3.613617
K	Uno	floorBody	-6.609349
K	Uno	floorBody.CreateFixture	-7.302496
K	Uno	foreach	-7.302496
K	Uno	get	-4.999911
K	Uno	if	-4.211454
K	Uno	impulse	-7.302496
K	Uno	in	-7.302496
K	Uno	int	-6.609349
K	Uno	manifold	-7.302496
K	Uno	mouseBody	-7.302496
K	Uno	namespace	-6.203884
K	Uno	new	-4.358057
K	Uno	null	-5.693059
K	Uno	object	-7.302496
K	Uno	override	-5.510737
K	Uno	padVelocity	-5.693059
K	Uno	player	-4.817590
K	Uno	private	-5.693059
K	Uno	protected	-5.510737
K	Uno	public	-4.358057
K	Uno	random	-6.609349
K	Uno	random.NextFloat	-6.609349
K	Uno	rectangleSize	-5.510737
K	Uno	rectangleSize.X	-7.302496
K	Uno	ref	-6.609349
K	Uno	resolution	-6.203884
K	Uno	resolution.X	-5.916202
K	Uno	resolution.Y	-5.693059
K	Uno	return	-5.223055
K	Uno	sender	-7.302496
K	Uno	set	-4.999911
K	Uno	shape	-5.510737
K	Uno	shape.SetAsBox	-6.203884
K	Uno	this	-6.609349
K	Uno	this.b	-7.302496
K	Uno	using	-4.211454
K	Uno	value	-5.223055
K	Uno	value.Position	-6.609349
K	Uno	value.Size.X	-6.609349
K	Uno	value.Size.Y	-6.609349
K	Uno	var	-4.817590
K	Uno	void	-4.469283
K	Uno	{	-3.012037
K	Uno	||	-5.916202
K	Uno	}	-3.012037
K	UnrealScript	!	-5.777033
K	UnrealScript	(	-2.598979
K	UnrealScript	)	-2.598979
K	UnrealScript	*	-7.386471
K	UnrealScript	,	-4.128374
K	UnrealScript	-	-2.369191
K	UnrealScript	.	-7.386471
K	UnrealScript	.default.bModeExclusive	-6.693324
K	UnrealScript	.static.SetFlashbangMode	-7.386471
K	UnrealScript	/*	-7.386471
K	UnrealScript	//	-6.693324
K	UnrealScript	//FirePowerMode	-7.386471
K	UnrealScript	//GE	-4.747414
K	UnrealScript	//var	-5.307029
K	UnrealScript	:	-4.678421
K	UnrealScript	;	-3.557829
K	UnrealScript	<Ammo>	-6.287859
K	UnrealScript	<CacheManager.WeaponRecord>	-7.386471
K	UnrealScript	<Weapon>	-5.440561
K	UnrealScript	<WeaponPickup>	-6.693324
K	UnrealScript	=	-2.409737
K	UnrealScript	?	-7.386471
K	UnrealScript	A.Powerups.EnergyPowerUp	-7.386471
K	UnrealScript	AmmoEnergyRifle	-7.386471
K	UnrealScript	AmmoFlameThrower	-7.386471
K	UnrealScript	AmmoPickupClassName	-7.386471
K	UnrealScript	AmmoPickupClassNames	-4.747414
K	UnrealScript	AmmoPistol	-7.386471
K	UnrealScript	AmmoRocketLauncher	-7.386471
K	UnrealScript	AmmoShotgun	-7.386471
K	UnrealScript	AmmoSniper	-7.386471
K	UnrealScript	AssaultRifleAmmoInv	-7.386471
K	UnrealScript	AssaultRifleFire	-5.777033
K	UnrealScript	AssaultRifleProjAlt	-6.000176
K	UnrealScript	BallLauncher	-7.386471
K	UnrealScript	CacheManager	-7.386471
K	UnrealScript	Class	-4.553258
K	UnrealScript	DamTypeAltPistol	-7.386471
K	UnrealScript	DamTypePistol	-7.386471
K	UnrealScript	DamageMultiplier	-7.386471
K	UnrealScript	DamagePercentage	-6.693324
K	UnrealScript	Description	-7.386471
K	UnrealScript	Error	-7.386471
K	UnrealScript	False	-7.386471
K	UnrealScript	FireMode	-7.386471
K	UnrealScript	FirePowerMode	-7.386471
K	UnrealScript	First	-7.386471
K	UnrealScript	FlashbangModeString	-6.287859
K	UnrealScript	For	-6.287859
K	UnrealScript	FriendlyName	-7.386471
K	UnrealScript	GE	-7.386471
K	UnrealScript	GUISelectOptions	-7.386471
K	UnrealScript	GameInfo	-7.386471
K	UnrealScript	Generated	-6.000176
K	UnrealScript	GroupName	-7.386471
K	UnrealScript	Has	-7.386471
K	UnrealScript	HelloWorld	-7.386471
K	UnrealScript	Here	-7.386471
K	UnrealScript	HurterProxy_Fire	-6.693324
K	UnrealScript	HurterProxy_Gas	-6.693324
K	UnrealScript	InitGame	-7.386471
K	UnrealScript	IterationNum	-7.386471
K	UnrealScript	Level.Game.bAllowVehicles	-7.386471
K	UnrealScript	MutU	-6.693324
K	UnrealScript	Mutator	-7.386471
K	UnrealScript	ONLY	-6.287859
K	UnrealScript	Opposite	-7.386471
K	UnrealScript	Options	-7.386471
K	UnrealScript	ProjectileASExplAlt	-6.693324
K	UnrealScript	ProjectileAltEnergyRifle	-5.440561
K	UnrealScript	ProjectileAltFlameThrower	-6.287859
K	UnrealScript	ProjectileAltShotgun	-6.693324
K	UnrealScript	ProjectileConcussionGrenade	-6.287859
K	UnrealScript	ProjectileEMPGrenade	-6.693324
K	UnrealScript	ProjectileEnergyRifle	-5.440561
K	UnrealScript	ProjectileFragGrenade	-5.777033
K	UnrealScript	ProjectileIncendiaryGrenade	-6.000176
K	UnrealScript	ProjectileRocket	-5.777033
K	UnrealScript	ProjectileRocketDrunken	-6.287859
K	UnrealScript	ProjectileRocketSeeking	-6.287859
K	UnrealScript	ProjectileSmokeGrenade	-6.693324
K	UnrealScript	ProjectileToxicGrenade	-6.693324
K	UnrealScript	ReplacedAmmoPickupClass	-7.386471
K	UnrealScript	ReplacedAmmoPickupClasses	-7.386471
K	UnrealScript	ReplacedWeaponClass	-7.386471
K	UnrealScript	ReplacedWeaponClassName.	-6.693324
K	UnrealScript	ReplacedWeaponClassNames	-4.128374
K	UnrealScript	ReplacedWeaponClasses	-7.386471
K	UnrealScript	ReplacedWeaponPickupClass	-7.386471
K	UnrealScript	ReplacedWeaponPickupClasses	-7.386471
K	UnrealScript	ShieldReward	-7.386471
K	UnrealScript	Structs	-7.386471
K	UnrealScript	T.Pickups.Energy_Pickup_B_FX_	-6.693324
K	UnrealScript	These	-7.386471
K	UnrealScript	Think	-7.386471
K	UnrealScript	This	-6.287859
K	UnrealScript	True	-4.613882
K	UnrealScript	U	-2.058595
K	UnrealScript	UNUSED	-7.386471
K	UnrealScript	US	-7.386471
K	UnrealScript	Weapon	-4.090634
K	UnrealScript	WeaponClass	-7.386471
K	UnrealScript	WeaponClass.	-7.386471
K	UnrealScript	WeaponClasses	-4.747414
K	UnrealScript	WeaponDescText	-3.860110
K	UnrealScript	WeaponDisplayText	-3.860110
K	UnrealScript	WeaponEnergyRifle	-7.386471
K	UnrealScript	WeaponFlameThrower	-6.693324
K	UnrealScript	WeaponInfo	-6.693324
K	UnrealScript	WeaponPickupClassName	-7.386471
K	UnrealScript	WeaponPickupClassNames	-7.386471
K	UnrealScript	WeaponRocketLauncher	-7.386471
K	UnrealScript	WeaponShotgun	-6.693324
K	UnrealScript	WeaponSniper	-7.386471
K	UnrealScript	WeaponX	-7.386471
K	UnrealScript	Weapons	-6.000176
K	UnrealScript	Weapons.Length	-7.386471
K	UnrealScript	Weapons.U	-2.732510
K	UnrealScript	WeponClass.	-7.386471
K	UnrealScript	XMPWorldItemsM.items.Pickup_TD_	-7.386471
K	UnrealScript	[	-4.821521
K	UnrealScript	]	-4.821521
K	UnrealScript	`	-7.386471
K	UnrealScript	a	-7.386471
K	UnrealScript	all	-7.386471
K	UnrealScript	are	-7.386471
K	UnrealScript	bConfigUseU	-4.090634
K	UnrealScript	bEnabled	-7.386471
K	UnrealScript	bExperimental	-7.386471
K	UnrealScript	bIntegrateShieldReward	-6.693324
K	UnrealScript	bIsVehicle	-4.613882
K	UnrealScript	bNotVehicle	-6.287859
K	UnrealScript	bUseFieldGenerator	-6.693324
K	UnrealScript	bUseProximitySensor	-6.693324
K	UnrealScript	bUseU	-7.386471
K	UnrealScript	bUseXMPFeel	-6.693324
K	UnrealScript	be	-7.386471
K	UnrealScript	bool	-4.901564
K	UnrealScript	byte	-6.693324
K	UnrealScript	can	-6.693324
K	UnrealScript	class	-4.988576
K	UnrealScript	config	-4.496099
K	UnrealScript	const	-7.386471
K	UnrealScript	d	-7.386471
K	UnrealScript	default	-6.287859
K	UnrealScript	defaultproperties	-6.693324
K	UnrealScript	deployable	-7.386471
K	UnrealScript	duh.	-7.386471
K	UnrealScript	event	-7.386471
K	UnrealScript	extends	-6.693324
K	UnrealScript	false	-6.693324
K	UnrealScript	from	-6.000176
K	UnrealScript	gametypes	-7.386471
K	UnrealScript	gametypes.	-7.386471
K	UnrealScript	going	-7.386471
K	UnrealScript	in	-6.287859
K	UnrealScript	independent	-7.386471
K	UnrealScript	indicates	-7.386471
K	UnrealScript	initialise	-7.386471
K	UnrealScript	inside	-7.386471
K	UnrealScript	int	-6.287859
K	UnrealScript	ireAltEnergyRifle	-7.386471
K	UnrealScript	ireAltFlameThrower	-7.386471
K	UnrealScript	ireAltPistol	-5.777033
K	UnrealScript	ireFlameThrower	-6.000176
K	UnrealScript	ireGrenade	-7.386471
K	UnrealScript	irePistol	-5.777033
K	UnrealScript	ireShotgun	-6.000176
K	UnrealScript	ireSniper	-5.777033
K	UnrealScript	is	-6.287859
K	UnrealScript	it	-7.386471
K	UnrealScript	localized	-6.693324
K	UnrealScript	log	-7.386471
K	UnrealScript	mutator.	-7.386471
K	UnrealScript	non	-7.386471
K	UnrealScript	of	-6.693324
K	UnrealScript	only	-6.693324
K	UnrealScript	out	-7.386471
K	UnrealScript	properties	-6.287859
K	UnrealScript	put	-7.386471
K	UnrealScript	replace.	-7.386471
K	UnrealScript	require	-7.386471
K	UnrealScript	s	-7.386471
K	UnrealScript	setting	-7.386471
K	UnrealScript	shotgun.	-7.386471
K	UnrealScript	spawns	-7.386471
K	UnrealScript	still	-7.386471
K	UnrealScript	string	-4.747414
K	UnrealScript	struct	-7.386471
K	UnrealScript	structs	-7.386471
K	UnrealScript	that	-6.693324
K	UnrealScript	the	-6.000176
K	UnrealScript	thus	-7.386471
K	UnrealScript	to	-6.693324
K	UnrealScript	turrets	-7.386471
K	UnrealScript	var	-3.985273
K	UnrealScript	vehicle	-6.287859
K	UnrealScript	we	-6.000176
K	UnrealScript	weapon	-6.693324
K	UnrealScript	what	-7.386471
K	UnrealScript	work	-7.386471
K	UnrealScript	works	-7.386471
K	UnrealScript	world.	-7.386471
K	UnrealScript	{	-6.000176
K	UnrealScript	}	-5.594711
K	UrWeb	'	-6.041444
K	UrWeb	(	-3.690069
K	UrWeb	)	-3.901378
K	UrWeb	*	-6.734592
K	UrWeb	*acc	-6.734592
K	UrWeb	+	-6.734592
K	UrWeb	,	-4.942832
K	UrWeb	-	-2.640247
K	UrWeb	/	-6.734592
K	UrWeb	0	-5.635979
K	UrWeb	01	-6.734592
K	UrWeb	01T01	-6.734592
K	UrWeb	1	-6.041444
K	UrWeb	10	-6.734592
K	UrWeb	2	-4.942832
K	UrWeb	2012	-6.734592
K	UrWeb	4	-6.734592
K	UrWeb	42Z	-6.734592
K	UrWeb	60	-6.734592
K	UrWeb	:	-2.025061
K	UrWeb	;	-5.348297
K	UrWeb	<	-6.734592
K	UrWeb	<->	-5.348297
K	UrWeb	</a>	-6.734592
K	UrWeb	</body>	-6.734592
K	UrWeb	</label>	-6.734592
K	UrWeb	</ul>	-6.734592
K	UrWeb	</xml>	-5.635979
K	UrWeb	<a>	-6.734592
K	UrWeb	<body>	-6.734592
K	UrWeb	<ctextbox>	-6.734592
K	UrWeb	<dyn>	-6.734592
K	UrWeb	<label>	-6.734592
K	UrWeb	<ul>	-6.734592
K	UrWeb	<xml>	-6.041444
K	UrWeb	=	-3.844220
K	UrWeb	>	-2.591457
K	UrWeb	Blob	-6.734592
K	UrWeb	Datetime.addMinutes	-6.734592
K	UrWeb	Day	-6.734592
K	UrWeb	Enter	-6.734592
K	UrWeb	Hour	-6.041444
K	UrWeb	ISO	-6.734592
K	UrWeb	List	-6.734592
K	UrWeb	List.foldl	-6.734592
K	UrWeb	Make	-6.734592
K	UrWeb	Minute	-6.734592
K	UrWeb	Minute=	-6.734592
K	UrWeb	Month	-6.734592
K	UrWeb	None	-6.734592
K	UrWeb	Parse.String	-6.734592
K	UrWeb	Second	-6.734592
K	UrWeb	Second=	-6.734592
K	UrWeb	Some	-6.734592
K	UrWeb	Stream	-6.734592
K	UrWeb	Stream.t	-6.734592
K	UrWeb	T	-6.734592
K	UrWeb	TZOffsetMinutes	-6.041444
K	UrWeb	Type	-3.438755
K	UrWeb	Year	-6.734592
K	UrWeb	Z	-6.734592
K	UrWeb	[	-4.942832
K	UrWeb	]	-4.942832
K	UrWeb	`	-6.041444
K	UrWeb	a	-2.709240
K	UrWeb	acc	-6.041444
K	UrWeb	an	-6.734592
K	UrWeb	b	-5.635979
K	UrWeb	blob	-6.734592
K	UrWeb	bool	-6.734592
K	UrWeb	case	-6.734592
K	UrWeb	char	-3.901378
K	UrWeb	con	-6.041444
K	UrWeb	count	-5.635979
K	UrWeb	d	-4.432007
K	UrWeb	date	-6.041444
K	UrWeb	datetime	-6.041444
K	UrWeb	datetime_with_tz	-5.635979
K	UrWeb	day	-6.041444
K	UrWeb	decimal_of_len	-4.655150
K	UrWeb	digit	-5.635979
K	UrWeb	digits	-5.635979
K	UrWeb	ds	-6.734592
K	UrWeb	else	-6.734592
K	UrWeb	end	-5.125154
K	UrWeb	endOfLine	-6.734592
K	UrWeb	eof	-6.041444
K	UrWeb	fail	-6.041444
K	UrWeb	fn	-6.041444
K	UrWeb	foldl	-6.734592
K	UrWeb	fun	-5.635979
K	UrWeb	functor	-6.734592
K	UrWeb	h	-5.348297
K	UrWeb	here	-6.734592
K	UrWeb	hour	-6.041444
K	UrWeb	href	-6.734592
K	UrWeb	if	-6.041444
K	UrWeb	in	-6.041444
K	UrWeb	input	-5.635979
K	UrWeb	int	-5.348297
K	UrWeb	isdigit	-6.041444
K	UrWeb	let	-6.041444
K	UrWeb	list	-4.942832
K	UrWeb	m	-4.942832
K	UrWeb	main	-6.734592
K	UrWeb	many	-6.041444
K	UrWeb	maybe	-4.788682
K	UrWeb	mbind	-6.734592
K	UrWeb	minute	-6.041444
K	UrWeb	monad	-6.041444
K	UrWeb	monad_parse	-6.041444
K	UrWeb	month	-6.041444
K	UrWeb	mreturn	-6.734592
K	UrWeb	n	-5.635979
K	UrWeb	none	-6.734592
K	UrWeb	of	-6.734592
K	UrWeb	open	-6.734592
K	UrWeb	option	-5.348297
K	UrWeb	or	-5.125154
K	UrWeb	ord	-6.041444
K	UrWeb	pad	-5.348297
K	UrWeb	page	-6.734592
K	UrWeb	parse	-5.635979
K	UrWeb	permit	-6.734592
K	UrWeb	process	-6.041444
K	UrWeb	r	-6.041444
K	UrWeb	r.TZOffsetMinutes	-6.734592
K	UrWeb	representing	-6.734592
K	UrWeb	return	-4.026541
K	UrWeb	s	-4.432007
K	UrWeb	satisfy	-6.734592
K	UrWeb	second	-6.041444
K	UrWeb	sepBy	-6.041444
K	UrWeb	show	-6.041444
K	UrWeb	sig	-5.635979
K	UrWeb	sign	-6.041444
K	UrWeb	signal	-6.041444
K	UrWeb	skipMany	-6.041444
K	UrWeb	skipSpace	-6.734592
K	UrWeb	skipWhile	-6.734592
K	UrWeb	source	-6.041444
K	UrWeb	strcat	-6.734592
K	UrWeb	string	-4.788682
K	UrWeb	structure	-6.734592
K	UrWeb	t	-2.691540
K	UrWeb	takeRest	-6.734592
K	UrWeb	them.	-6.734592
K	UrWeb	then	-6.734592
K	UrWeb	time	-6.041444
K	UrWeb	timezone_offset	-6.041444
K	UrWeb	transaction	-6.734592
K	UrWeb	type	-6.734592
K	UrWeb	tz	-6.041444
K	UrWeb	unit	-4.655150
K	UrWeb	unsigned_int_of_radix	-6.734592
K	UrWeb	v	-5.348297
K	UrWeb	val	-2.996922
K	UrWeb	x	-5.348297
K	UrWeb	xml	-6.734592
K	UrWeb	y	-6.734592
K	UrWeb	year	-6.041444
K	UrWeb	zulu	-6.041444
K	UrWeb	{	-4.537367
K	UrWeb	|	-6.734592
K	UrWeb	}	-4.655150
K	VCL	!	-3.530763
K	VCL	&&	-3.887438
K	VCL	(	-2.614472
K	VCL	)	-2.614472
K	VCL	+	-3.693282
K	VCL	-	-3.481972
K	VCL	//W	-5.833348
K	VCL	//www.varnish	-6.526495
K	VCL	//www.w	-5.833348
K	VCL	/DTD/xhtml	-5.833348
K	VCL	0	-5.833348
K	VCL	1	-5.833348
K	VCL	:	-5.427883
K	VCL	;	-2.655294
K	VCL	<	-6.526495
K	VCL	<!DOCTYPE>	-5.833348
K	VCL	</a>	-6.526495
K	VCL	</address>	-6.526495
K	VCL	</body>	-5.833348
K	VCL	</head>	-5.833348
K	VCL	</html>	-5.833348
K	VCL	</p>	-4.917057
K	VCL	</title>	-5.833348
K	VCL	<?xml>	-5.833348
K	VCL	<a>	-6.526495
K	VCL	<address>	-6.526495
K	VCL	<body>	-5.833348
K	VCL	<head>	-5.833348
K	VCL	<hr>	-5.833348
K	VCL	<html>	-5.833348
K	VCL	<p>	-4.917057
K	VCL	<phk@phk.freebsd.dk>	-5.833348
K	VCL	<title>	-5.833348
K	VCL	=	-3.029987
K	VCL	After	-6.526495
K	VCL	C//DTD	-5.833348
K	VCL	Cookie	-5.833348
K	VCL	DTD	-5.140200
K	VCL	EN	-5.833348
K	VCL	For	-5.427883
K	VCL	Forwarded	-5.427883
K	VCL	PUBLIC	-5.833348
K	VCL	Strict	-5.833348
K	VCL	Strict//EN	-5.833348
K	VCL	TR	-5.833348
K	VCL	Type	-5.833348
K	VCL	W3C	-5.833348
K	VCL	XHTML	-5.140200
K	VCL	beresp.http.Set	-6.526495
K	VCL	beresp.http.Vary	-6.526495
K	VCL	beresp.ttl	-5.833348
K	VCL	cache.org/	-6.526495
K	VCL	client.ip	-5.833348
K	VCL	deliver	-4.447053
K	VCL	discard	-5.833348
K	VCL	dtd	-5.833348
K	VCL	else	-5.427883
K	VCL	encoding=	-5.833348
K	VCL	fetch	-5.427883
K	VCL	for	-6.526495
K	VCL	forwarded	-6.526495
K	VCL	hash	-5.833348
K	VCL	hash_data	-5.427883
K	VCL	hit_for_pass	-6.526495
K	VCL	http	-4.917057
K	VCL	if	-3.887438
K	VCL	lookup	-5.833348
K	VCL	obj.cacheable	-5.833348
K	VCL	obj.http.Content	-5.833348
K	VCL	obj.http.Retry	-6.526495
K	VCL	obj.http.Set	-6.526495
K	VCL	obj.prefetch	-6.526495
K	VCL	obj.response	-4.734735
K	VCL	obj.status	-5.140200
K	VCL	ok	-5.833348
K	VCL	org	-5.833348
K	VCL	org/TR/xhtml	-5.833348
K	VCL	pass	-4.329270
K	VCL	pipe	-5.140200
K	VCL	req.hash	-5.427883
K	VCL	req.http.Authorization	-5.833348
K	VCL	req.http.Cookie	-5.833348
K	VCL	req.http.X	-5.427883
K	VCL	req.http.host	-5.140200
K	VCL	req.http.x	-6.526495
K	VCL	req.request	-3.636123
K	VCL	req.restarts	-6.526495
K	VCL	req.url	-5.833348
K	VCL	req.xid	-5.833348
K	VCL	return	-3.029987
K	VCL	s	-5.427883
K	VCL	server.ip	-5.833348
K	VCL	set	-4.223910
K	VCL	strict	-5.833348
K	VCL	strict.dtd	-5.833348
K	VCL	sub	-3.391001
K	VCL	synthetic	-5.833348
K	VCL	utf	-5.833348
K	VCL	vcl_deliver	-5.833348
K	VCL	vcl_discard	-6.526495
K	VCL	vcl_error	-5.833348
K	VCL	vcl_fetch	-5.833348
K	VCL	vcl_fini	-6.526495
K	VCL	vcl_hash	-5.833348
K	VCL	vcl_hit	-5.833348
K	VCL	vcl_init	-6.526495
K	VCL	vcl_miss	-5.833348
K	VCL	vcl_pass	-5.833348
K	VCL	vcl_pipe	-5.833348
K	VCL	vcl_prefetch	-6.526495
K	VCL	vcl_recv	-5.833348
K	VCL	vcl_timeout	-6.526495
K	VCL	w3	-5.833348
K	VCL	www	-5.833348
K	VCL	xhtml1	-5.140200
K	VCL	{	-2.614472
K	VCL	||	-5.140200
K	VCL	}	-2.614472
K	VHDL	(	-3.713572
K	VHDL	)	-3.713572
K	VHDL	:	-3.020425
K	VHDL	;	-1.767662
K	VHDL	<	-3.713572
K	VHDL	=	-3.713572
K	VHDL	a	-3.020425
K	VHDL	all	-3.713572
K	VHDL	architecture	-3.020425
K	VHDL	b	-3.020425
K	VHDL	begin	-3.713572
K	VHDL	end	-3.020425
K	VHDL	entity	-3.020425
K	VHDL	ieee	-3.713572
K	VHDL	ieee.std_logic_	-3.713572
K	VHDL	in	-3.713572
K	VHDL	inverter	-3.020425
K	VHDL	is	-3.020425
K	VHDL	library	-3.713572
K	VHDL	not	-3.713572
K	VHDL	of	-3.713572
K	VHDL	out	-3.713572
K	VHDL	port	-3.713572
K	VHDL	rtl	-3.713572
K	VHDL	std_logic	-3.020425
K	VHDL	use	-3.713572
K	Verilog	!	-5.973578
K	Verilog	#	-4.760556
K	Verilog	$	-7.678326
K	Verilog	&	-6.579714
K	Verilog	&&	-7.272861
K	Verilog	'	-7.678326
K	Verilog	(	-2.436579
K	Verilog	)	-2.447218
K	Verilog	*	-6.579714
K	Verilog	+	-4.707912
K	Verilog	,	-2.615731
